,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
377,Lianyuan,27.69,111.66,56.08,71,20,2.71,CN,1603314381
378,Chui,-33.7,-53.46,59.52,72,59,13.91,UY,1603314143
379,Saint George,37.1,-113.58,76.91,12,1,6.62,US,1603313890
380,Cockburn Town,21.46,-71.14,82.4,74,40,11.41,TC,1603314385
381,Port Blair,11.67,92.75,80.76,82,73,10.96,IN,1603314070
382,Urmia,37.55,45.08,50.0,71,0,11.41,IR,1603314387
383,Willmar,45.12,-95.04,34.11,69,1,4.7,US,1603314389
384,Manavālakurichi,8.13,77.3,80.6,88,20,1.12,IN,1603314236
385,Bafoulabé,13.81,-10.83,83.79,24,58,1.03,ML,1603314392
386,Katsuura,35.13,140.3,60.21,72,75,16.11,JP,1603314394
387,Suba,10.84,121.01,83.62,78,8,18.61,PH,1603314395
388,Aktau,43.65,51.2,42.8,81,40,4.47,KZ,1603314396
389,La Antigua,6.72,-76.08,67.12,92,100,3.62,CO,1603314397
390,Donskoye,45.46,41.97,39.2,80,100,6.71,RU,1603314401
391,Itacoatiara,-3.14,-58.44,92.32,45,93,4.65,BR,1603314402
392,San Juan de los Lagos,21.25,-102.3,80.6,19,20,2.24,MX,1603314330
393,Debre Tabor,11.85,38.02,52.63,86,66,1.97,ET,1603314407
394,Leningradskiy,69.38,178.42,35.11,84,100,8.5,RU,1603314147
395,Michigan City,41.71,-86.89,53.28,66,1,6.93,US,1603314409
396,Hervey Bay,-25.3,152.85,70.66,88,100,4.7,AU,1603314220
397,Rujewa,-8.7,34.38,70.95,60,100,5.39,TZ,1603314412
398,Cairns,-16.92,145.77,71.29,88,46,3.67,AU,1603314356
399,Inuvik,68.35,-133.72,17.6,78,40,2.24,CA,1603314414
400,Mosquera,4.71,-74.23,68.0,49,40,9.17,CO,1603314315
401,Narasannapeta,18.42,84.05,77.29,84,100,6.29,IN,1603314417
402,Aracaju,-10.91,-37.07,82.4,69,20,11.41,BR,1603314152
403,Carutapera,-1.2,-46.02,80.29,74,11,9.06,BR,1603314104
404,Brainerd,46.36,-94.2,33.31,69,75,9.17,US,1603314420
405,Lerwick,60.15,-1.15,48.2,76,100,27.51,GB,1603314422
406,Ilhabela,-23.78,-45.36,73.13,85,17,5.21,BR,1603314423
407,Jinji,23.23,110.83,59.61,76,34,2.55,CN,1603314424
408,Davila,18.47,120.58,82.15,78,100,6.85,PH,1603314142
409,Wanlaweyn,2.62,44.89,79.16,79,45,12.28,SO,1603314427
410,Fort Nelson,58.81,-122.7,23.0,62,90,10.29,CA,1603314419
411,Bambanglipuro,-7.95,110.28,76.57,85,92,3.51,ID,1603314430
412,Barber,12.28,-69.07,87.8,70,20,14.99,CW,1603314431
413,Prudentópolis,-25.21,-50.98,76.14,52,41,2.48,BR,1603314433
414,Mach,29.86,67.33,64.54,21,0,10.96,PK,1603314434
415,Den Helder,52.96,4.76,57.36,87,75,17.22,NL,1603314435
416,Eureka,40.8,-124.16,61.38,76,1,6.93,US,1603314436
417,Kununurra,-15.77,128.73,78.8,88,80,3.36,AU,1603314168
418,Krasnomayskiy,57.62,34.41,36.19,96,100,6.22,RU,1603314439
419,Kysyl-Syr,63.9,122.76,16.86,97,84,4.05,RU,1603314440
420,Saint-Pierre,-21.34,55.48,67.78,73,15,11.41,RE,1603314441
421,Hienghène,-20.68,164.93,75.85,77,36,6.71,NC,1603314442
422,Botwood,49.15,-55.35,42.01,83,91,1.01,CA,1603314444
423,Kontagora,10.4,5.47,78.06,54,1,1.01,NG,1603314445
424,Bara,10.37,10.73,80.15,46,0,7.07,NG,1603314446
425,Vao,-22.67,167.48,73.17,85,0,13.67,NC,1603314406
426,Madimba,-10.4,40.33,75.2,88,20,6.93,TZ,1603314449
427,Emba,48.83,58.14,37.81,74,7,12.84,KZ,1603314450
428,Melilla,35.29,-2.94,68.49,77,100,3.36,ES,1603314451
429,Surgut,61.25,73.42,32.0,99,75,4.47,RU,1603314015
430,Łask,51.59,19.13,52.61,79,99,3.0,PL,1603314454
431,Richards Bay,-28.78,32.04,65.01,78,93,4.68,ZA,1603314170
432,Maniitsoq,65.42,-52.9,31.32,96,90,9.13,GL,1603314456
433,Şoimuş,45.92,22.9,46.42,56,96,0.58,RO,1603314457
434,Manadhoo,5.77,73.38,81.57,79,73,12.17,MV,1603314459
435,Filingué,14.35,3.32,92.55,13,0,4.83,NE,1603314202
436,Coahuayana Viejo,18.73,-103.68,86.0,66,40,8.05,MX,1603314161
437,Wellsford,-36.28,174.52,66.04,71,33,3.13,NZ,1603314462
438,Zandvoort,52.37,4.53,58.32,87,75,33.33,NL,1603314463
439,Portland,45.52,-122.68,56.19,62,75,13.87,US,1603314005
440,Flin Flon,54.77,-101.86,26.6,79,75,10.29,CA,1603314466
441,Sibolga,1.74,98.78,75.78,85,100,5.59,ID,1603314467
442,Arlit,18.74,7.39,90.12,11,13,10.11,NE,1603314468
443,Port Macquarie,-31.43,152.92,64.0,76,40,4.0,AU,1603314470
444,Port-Cartier,50.03,-66.87,33.6,86,90,13.87,CA,1603314471
445,Duluth,46.78,-92.11,34.77,69,90,10.29,US,1603314344
446,Ponta Delgada,37.73,-25.67,60.8,72,75,10.29,PT,1603314473
447,Darhan,49.49,105.92,28.98,84,0,7.09,MN,1603314105
448,Talnakh,69.49,88.4,12.2,85,40,13.42,RU,1603314095
449,Amapá,1.0,-52.0,88.11,41,94,2.64,BR,1603314478
450,Charters Towers,-20.1,146.27,70.41,82,11,9.66,AU,1603314479
451,Waddān,29.16,16.14,65.08,50,0,13.71,LY,1603314480
452,Shelburne,44.08,-80.2,53.53,76,90,9.17,CA,1603314482
453,Peniche,39.36,-9.38,59.32,89,66,4.0,PT,1603314429
454,Bunia,1.57,30.25,62.65,93,32,2.08,CD,1603314484
455,Turbat,26.0,63.04,71.42,16,0,11.16,PK,1603314270
456,Lubango,-14.92,13.49,62.04,80,20,5.17,AO,1603314487
457,Saint Cloud,45.56,-94.16,34.27,69,75,9.17,US,1603314293
458,Khovd,48.01,91.64,29.77,86,3,1.07,MN,1603314216
459,Moree,-29.47,149.85,62.6,88,90,10.29,AU,1603314490
460,Areia Branca,-4.96,-37.14,81.48,76,52,20.56,BR,1603314491
461,Tiznit Province,29.58,-9.5,65.21,73,99,4.23,MA,1603314494
462,Burgeo,47.62,-57.62,48.31,73,77,4.54,CA,1603314232
464,Agudos,-22.47,-48.99,80.01,58,11,1.01,BR,1603314319
465,Liverpool,53.41,-2.98,54.05,82,75,6.93,GB,1603314499
466,Baykit,61.67,96.37,38.03,88,100,6.82,RU,1603314500
467,Mareeba,-17.0,145.43,69.58,88,24,2.19,AU,1603314192
468,Płońsk,52.62,20.38,50.9,81,99,9.17,PL,1603314502
469,Meadow Lake,34.8,-106.54,81.05,8,20,5.82,US,1603314504
470,Santiago del Estero,-27.8,-64.26,81.64,43,3,10.11,AR,1603314505
471,Jamame,0.07,42.75,78.73,85,97,9.35,SO,1603314482
472,Capreol,46.71,-80.92,45.45,81,90,9.17,CA,1603314507
474,Tevaitoa,-16.78,-151.5,79.47,74,0,13.6,PF,1603314510
475,Santo Tomas,14.11,121.14,78.57,94,90,4.7,PH,1603314232
476,Kokstad,-30.55,29.42,53.02,87,18,3.62,ZA,1603314512
478,Singaraja,-8.11,115.09,79.59,69,35,3.71,ID,1603314515
479,Uvalde,29.37,-99.77,88.63,38,40,11.41,US,1603314516
480,Somerset East,-32.72,25.59,56.88,76,0,3.04,ZA,1603314517
481,Klaksvík,62.23,-6.59,37.4,86,54,1.12,FO,1603314158
482,São João da Barra,-21.64,-41.05,78.8,69,40,11.41,BR,1603314520
483,Igrim,63.19,64.42,25.95,97,97,6.6,RU,1603314521
484,Natchez,31.56,-91.4,85.12,51,75,8.05,US,1603314333
485,Labuhan,-6.88,112.21,79.43,82,94,6.49,ID,1603314523
486,Havelock,34.88,-76.9,76.91,73,100,8.23,US,1603314525
487,Praia,14.92,-23.51,81.03,76,49,14.05,CV,1603314526
488,San Miguel de Cozumel,20.51,-86.95,82.18,88,75,2.24,MX,1603314341
489,Metro,-5.11,105.31,76.32,86,99,4.18,ID,1603314528
490,Ambon City,-3.7,128.18,82.0,93,100,2.71,ID,1603314529
491,Los Llanos de Aridane,28.66,-17.92,65.12,68,20,6.93,ES,1603314110
492,Kupang,-10.17,123.58,77.4,81,50,4.16,ID,1603314146
493,Yulara,-25.24,130.99,73.4,49,76,8.05,AU,1603314103
494,Huai'an,33.59,119.02,53.98,59,0,8.03,CN,1603314534
495,Mersing,2.43,103.84,77.0,94,97,4.7,MY,1603314535
496,Tūkrah,32.53,20.58,66.09,49,3,2.84,LY,1603314537
497,Newala,-10.94,39.28,67.95,87,48,8.72,TZ,1603314538
498,Sitka,57.05,-135.33,39.2,38,1,4.7,US,1603313885
499,Ulaangom,49.98,92.07,26.44,93,9,2.98,MN,1603314540
500,Mīrābād,30.44,61.84,61.43,27,0,13.65,AF,1603314542
501,Calamar,10.25,-74.91,83.37,82,68,10.04,CO,1603314543
502,Carberry,49.87,-99.36,30.2,74,75,10.29,CA,1603314409
503,Belaya Gora,68.53,146.42,6.1,93,100,1.05,RU,1603314181
504,Nhulunbuy,-12.23,136.77,75.2,83,61,4.05,AU,1603314179
505,Entre Rios,-11.94,-38.08,74.39,78,3,6.71,BR,1603314548
506,Nong’an,44.38,125.17,32.0,83,0,6.71,CN,1603314549
507,Kampil,27.62,79.28,72.91,32,0,1.63,IN,1603314550
508,Sorong,-0.88,131.25,77.52,86,100,5.14,ID,1603314551
509,Abhā,18.22,42.51,64.4,17,0,10.29,SA,1603314438
510,Pangnirtung,66.15,-65.71,28.4,86,75,3.36,CA,1603314554
511,Steinbach am Taunus,50.17,8.57,56.08,81,48,4.7,DE,1603314555
512,Lokosovo,61.13,74.82,30.11,98,100,2.68,RU,1603314556
513,Ejea de los Caballeros,42.13,-1.14,64.4,59,100,3.36,ES,1603314558
514,Jiayuguan City,39.82,98.3,41.11,53,0,4.61,CN,1603314559
515,Amahai,-3.33,128.92,82.0,93,100,4.18,ID,1603314560
516,Pontevedra,42.43,-8.64,55.83,87,20,10.29,ES,1603314561
517,Ust-Tsilma,65.44,52.15,22.91,96,96,6.87,RU,1603314563
518,Havøysund,71.0,24.66,31.71,92,0,11.54,NO,1603314564
519,Lukulu,-14.37,23.24,73.0,39,0,5.26,ZM,1603314565
520,Chirongui,-12.93,45.15,77.0,83,38,6.93,YT,1603314566
521,Gazli,40.13,63.45,50.43,48,40,12.1,UZ,1603314568
522,Tazovsky,67.47,78.7,18.23,97,94,10.29,RU,1603314570
523,Karratha,-20.74,116.85,66.22,52,81,9.26,AU,1603314571
524,Zhigansk,66.77,123.37,14.38,96,99,2.98,RU,1603314156
525,Jizan,17.33,42.67,84.2,74,0,6.93,SA,1603314575
526,Bereda,43.27,-7.54,53.01,96,36,1.99,ES,1603314492
527,Sinnamary,5.38,-52.95,83.01,72,6,11.07,GF,1603314579
528,Topi,34.07,72.62,60.1,71,0,5.61,PK,1603314580
529,Riyadh,24.69,46.72,69.8,21,0,5.82,SA,1603314077
530,Tongren,27.72,109.19,54.91,78,31,1.86,CN,1603314583
531,Hofn,64.25,-15.21,36.03,77,66,6.91,IS,1603314078
532,Kyabram,-36.32,145.05,54.0,76,11,5.5,AU,1603314585
533,San Policarpo,12.18,125.51,79.41,85,100,8.01,PH,1603314587
534,Mahrīz,31.59,54.43,59.0,12,0,2.24,IR,1603314588
535,Mitú,1.2,-70.17,85.87,71,100,0.87,CO,1603314589
536,Philadelphia,39.95,-75.16,76.14,73,40,4.7,US,1603314092
537,General Roca,-39.03,-67.58,71.6,30,55,19.46,AR,1603314220
538,Abu Dhabi,24.47,54.37,78.8,78,0,2.24,AE,1603314322
539,Mongomo,1.63,11.31,66.15,92,87,2.06,GQ,1603314595
540,Asekeyevo,53.57,52.8,30.58,93,4,10.4,RU,1603314596
541,Bharūch,21.7,72.97,81.9,72,87,2.55,IN,1603314598
542,Anadyr,64.75,177.48,39.09,80,20,11.18,RU,1603314599
543,Limbang,4.75,115.0,77.0,94,75,3.36,MY,1603314600
544,Dudinka,69.41,86.18,12.2,85,40,13.42,RU,1603314602
545,Salinas,36.68,-121.66,74.7,47,1,10.29,US,1603314581
546,Hariāna,31.64,75.84,68.74,23,0,6.49,IN,1603314604
547,Maumere,-8.62,122.21,79.36,75,2,3.85,ID,1603314605
548,Tromsø,69.65,18.96,26.6,73,0,24.16,NO,1603314607
549,Llangefni,53.26,-4.31,52.79,81,87,14.99,GB,1603314608
550,Yashkul',46.17,45.34,47.68,52,100,1.52,RU,1603314609
551,Jertih,5.73,102.49,77.0,94,20,2.24,MY,1603314610
